id;pesid;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_principal;causa_acidente;ordem_tipo_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;id_veiculo;tipo_veiculo;marca;ano_fabricacao_veiculo;tipo_envolvido;estado_fisico;idade;sexo;ilesos;feridos_leves;feridos_graves;mortos;latitude;longitude;regional;delegacia;uop
652477;1469510;01/01/2025;quarta-feira;03:00:00;PR;116;14;COLOMBO;Não;Velocidade Incompatível;1;Capotamento;Com Vítimas Fatais;Plena Noite;Decrescente;Nublado;Dupla;Reta;Sim;1172945;Automóvel;FIAT/PALIO EX;2004;Passageiro;Lesões Leves;2;Feminino;0;1;0;0;-25,3818;-49,1643;SPRF-PR;DEL01-PR;UOP02-DEL01-PR
652477;1469510;01/01/2025;quarta-feira;03:00:00;PR;116;14;COLOMBO;Não;Ingestão de substâncias psicoativas pelo condutor;1;Capotamento;Com Vítimas Fatais;Plena Noite;Decrescente;Nublado;Dupla;Reta;Sim;1172945;Automóvel;FIAT/PALIO EX;2004;Passageiro;Lesões Leves;2;Feminino;0;1;0;0;-25,3818;-49,1643;SPRF-PR;DEL01-PR;UOP02-DEL01-PR
652477;1469510;01/01/2025;quarta-feira;03:00:00;PR;116;14;COLOMBO;Não;Ingestão de álcool pelo condutor;1;Capotamento;Com Vítimas Fatais;Plena Noite;Decrescente;Nublado;Dupla;Reta;Sim;1172945;Automóvel;FIAT/PALIO EX;2004;Passageiro;Lesões Leves;2;Feminino;0;1;0;0;-25,3818;-49,1643;SPRF-PR;DEL01-PR;UOP02-DEL01-PR
652477;1469510;01/01/2025;quarta-feira;03:00:00;PR;116;14;COLOMBO;Não;Ausência de reação do condutor;1;Capotamento;Com Vítimas Fatais;Plena Noite;Decrescente;Nublado;Dupla;Reta;Sim;1172945;Automóvel;FIAT/PALIO EX;2004;Passageiro;Lesões Leves;2;Feminino;0;1;0;0;-25,3818;-49,1643;SPRF-PR;DEL01-PR;UOP02-DEL01-PR
652477;1469510;01/01/2025;quarta-feira;03:00:00;PR;116;14;COLOMBO;Sim;Suicídio (presumido);1;Capotamento;Com Vítimas Fatais;Plena Noite;Decrescente;Nublado;Dupla;Reta;Sim;1172945;Automóvel;FIAT/PALIO EX;2004;Passageiro;Lesões Leves;2;Feminino;0;1;0;0;-25,3818;-49,1643;SPRF-PR;DEL01-PR;UOP02-DEL01-PR
652544;1467847;01/01/2025;quarta-feira;11:00:00;PR;116;74;CAMPINA GRANDE DO SUL;Sim;Reação tardia ou ineficiente do condutor;1;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;Não;1173089;Automóvel;I/HONDA CITY LX FLEX;2013;Passageiro;Ileso;9;Feminino;1;0;0;0;-25,36517687;-49,04223028;SPRF-PR;DEL01-PR;UOP02-DEL01-PR
652544;1467846;01/01/2025;quarta-feira;11:00:00;PR;116;74;CAMPINA GRANDE DO SUL;Sim;Reação tardia ou ineficiente do condutor;1;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;Não;1173089;Automóvel;I/HONDA CITY LX FLEX;2013;Passageiro;Ileso;14;Masculino;1;0;0;0;-25,36517687;-49,04223028;SPRF-PR;DEL01-PR;UOP02-DEL01-PR
652548;1470394;01/01/2025;quarta-feira;12:59:00;PR;116;144;MANDIRITUBA;Não;Velocidade Incompatível;1;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Reta;Não;1173055;Utilitário;I/VW TIGUAN ALLSPACE RL;2019;Passageiro;Ileso;6;Feminino;1;0;0;0;-25,76405694;-49,32116324;SPRF-PR;DEL01-PR;UOP03-DEL01-PR
652548;1470394;01/01/2025;quarta-feira;12:59:00;PR;116;144;MANDIRITUBA;Sim;Condutor deixou de manter distância do veículo da frente;1;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Reta;Não;1173055;Utilitário;I/VW TIGUAN ALLSPACE RL;2019;Passageiro;Ileso;6;Feminino;1;0;0;0;-25,76405694;-49,32116324;SPRF-PR;DEL01-PR;UOP03-DEL01-PR
652611;1467947;01/01/2025;quarta-feira;16:45:00;PR;116;66;CAMPINA GRANDE DO SUL;Sim;Velocidade Incompatível;1;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Nublado;Dupla;Reta;Não;1173154;Automóvel;RENAULT/LOGAN EXP 16 SCE;2018;Passageiro;Ileso;7;Feminino;1;0;0;0;-25,31033956;-49,01212903;SPRF-PR;DEL01-PR;UOP02-DEL01-PR
