id,pesid,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_principal,causa_acidente,ordem_tipo_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,id_veiculo,tipo_veiculo,marca,ano_fabricacao_veiculo,tipo_envolvido,estado_fisico,idade,sexo,ilesos,feridos_leves,feridos_graves,mortos,latitude,longitude,regional,delegacia,uop
652477.0,1469510.0,01/01/2025,quarta-feira,03:00:00,PR,116.0,14,COLOMBO,Não,Velocidade Incompatível,1.0,Capotamento,Com Vítimas Fatais,Plena Noite,Decrescente,Nublado,Dupla,Reta,Sim,1172945.0,Automóvel,FIAT/PALIO EX,2004.0,Passageiro,Lesões Leves,2.0,Feminino,0.0,1.0,0.0,0.0,"-25,3818","-49,1643",SPRF-PR,DEL01-PR,UOP02-DEL01-PR
652477.0,1469510.0,01/01/2025,quarta-feira,03:00:00,PR,116.0,14,COLOMBO,Não,Ingestão de substâncias psicoativas pelo condutor,1.0,Capotamento,Com Vítimas Fatais,Plena Noite,Decrescente,Nublado,Dupla,Reta,Sim,1172945.0,Automóvel,FIAT/PALIO EX,2004.0,Passageiro,Lesões Leves,2.0,Feminino,0.0,1.0,0.0,0.0,"-25,3818","-49,1643",SPRF-PR,DEL01-PR,UOP02-DEL01-PR
652477.0,1469510.0,01/01/2025,quarta-feira,03:00:00,PR,116.0,14,COLOMBO,Não,Ingestão de álcool pelo condutor,1.0,Capotamento,Com Vítimas Fatais,Plena Noite,Decrescente,Nublado,Dupla,Reta,Sim,1172945.0,Automóvel,FIAT/PALIO EX,2004.0,Passageiro,Lesões Leves,2.0,Feminino,0.0,1.0,0.0,0.0,"-25,3818","-49,1643",SPRF-PR,DEL01-PR,UOP02-DEL01-PR
652477.0,1469510.0,01/01/2025,quarta-feira,03:00:00,PR,116.0,14,COLOMBO,Não,Ausência de reação do condutor,1.0,Capotamento,Com Vítimas Fatais,Plena Noite,Decrescente,Nublado,Dupla,Reta,Sim,1172945.0,Automóvel,FIAT/PALIO EX,2004.0,Passageiro,Lesões Leves,2.0,Feminino,0.0,1.0,0.0,0.0,"-25,3818","-49,1643",SPRF-PR,DEL01-PR,UOP02-DEL01-PR
652477.0,1469510.0,01/01/2025,quarta-feira,03:00:00,PR,116.0,14,COLOMBO,Sim,Suicídio (presumido),1.0,Capotamento,Com Vítimas Fatais,Plena Noite,Decrescente,Nublado,Dupla,Reta,Sim,1172945.0,Automóvel,FIAT/PALIO EX,2004.0,Passageiro,Lesões Leves,2.0,Feminino,0.0,1.0,0.0,0.0,"-25,3818","-49,1643",SPRF-PR,DEL01-PR,UOP02-DEL01-PR
652544.0,1467847.0,01/01/2025,quarta-feira,11:00:00,PR,116.0,74,CAMPINA GRANDE DO SUL,Sim,Reação tardia ou ineficiente do condutor,1.0,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Reta,Não,1173089.0,Automóvel,I/HONDA CITY LX FLEX,2013.0,Passageiro,Ileso,9.0,Feminino,1.0,0.0,0.0,0.0,"-25,36517687","-49,04223028",SPRF-PR,DEL01-PR,UOP02-DEL01-PR
652544.0,1467846.0,01/01/2025,quarta-feira,11:00:00,PR,116.0,74,CAMPINA GRANDE DO SUL,Sim,Reação tardia ou ineficiente do condutor,1.0,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Reta,Não,1173089.0,Automóvel,I/HONDA CITY LX FLEX,2013.0,Passageiro,Ileso,14.0,Masculino,1.0,0.0,0.0,0.0,"-25,36517687","-49,04223028",SPRF-PR,DEL01-PR,UOP02-DEL01-PR
652548.0,1470394.0,01/01/2025,quarta-feira,12:59:00,PR,116.0,144,MANDIRITUBA,Não,Velocidade Incompatível,1.0,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Reta,Não,1173055.0,Utilitário,I/VW TIGUAN ALLSPACE RL,2019.0,Passageiro,Ileso,6.0,Feminino,1.0,0.0,0.0,0.0,"-25,76405694","-49,32116324",SPRF-PR,DEL01-PR,UOP03-DEL01-PR
652548.0,1470394.0,01/01/2025,quarta-feira,12:59:00,PR,116.0,144,MANDIRITUBA,Sim,Condutor deixou de manter distância do veículo da frente,1.0,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Reta,Não,1173055.0,Utilitário,I/VW TIGUAN ALLSPACE RL,2019.0,Passageiro,Ileso,6.0,Feminino,1.0,0.0,0.0,0.0,"-25,76405694","-49,32116324",SPRF-PR,DEL01-PR,UOP03-DEL01-PR
652611.0,1467947.0,01/01/2025,quarta-feira,16:45:00,PR,116.0,66,CAMPINA GRANDE DO SUL,Sim,Velocidade Incompatível,1.0,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Nublado,Dupla,Reta,Não,1173154.0,Automóvel,RENAULT/LOGAN EXP 16 SCE,2018.0,Passageiro,Ileso,7.0,Feminino,1.0,0.0,0.0,0.0,"-25,31033956","-49,01212903",SPRF-PR,DEL01-PR,UOP02-DEL01-PR
652611.0,1467944.0,01/01/2025,quarta-feira,16:45:00,PR,116.0,66,CAMPINA GRANDE DO SUL,Sim,Velocidade Incompatível,1.0,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Nublado,Dupla,Reta,Não,1173153.0,Automóvel,FORD/FIESTA SEDAN1.6FLEX,2005.0,Passageiro,Lesões Leves,10.0,Feminino,0.0,1.0,0.0,0.0,"-25,31033956","-49,01212903",SPRF-PR,DEL01-PR,UOP02-DEL01-PR
652784.0,1468390.0,02/01/2025,quinta-feira,13:55:00,PR,277.0,144,CAMPO LARGO,Sim,Manobra de mudança de faixa,3.0,Queda de ocupante de veículo,Sem Vítimas,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,Não,1173479.0,Automóvel,RENAULT/SANDERO EXPR 10,2014.0,Passageiro,Ileso,7.0,Masculino,1.0,0.0,0.0,0.0,"-25,47358827","-49,70068508",SPRF-PR,DEL03-PR,UOP03-DEL03-PR
652784.0,1468390.0,02/01/2025,quinta-feira,13:55:00,PR,277.0,144,CAMPO LARGO,Sim,Manobra de mudança de faixa,2.0,Tombamento,Sem Vítimas,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,Não,1173479.0,Automóvel,RENAULT/SANDERO EXPR 10,2014.0,Passageiro,Ileso,7.0,Masculino,1.0,0.0,0.0,0.0,"-25,47358827","-49,70068508",SPRF-PR,DEL03-PR,UOP03-DEL03-PR
652784.0,1468390.0,02/01/2025,quinta-feira,13:55:00,PR,277.0,144,CAMPO LARGO,Sim,Manobra de mudança de faixa,1.0,Colisão lateral mesmo sentido,Sem Vítimas,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,Não,1173479.0,Automóvel,RENAULT/SANDERO EXPR 10,2014.0,Passageiro,Ileso,7.0,Masculino,1.0,0.0,0.0,0.0,"-25,47358827","-49,70068508",SPRF-PR,DEL03-PR,UOP03-DEL03-PR
